Unused Variables in HGSS

Dec	Hex
16410	401A
16411	401B
16412	401C
16413	401D
16414	401E
16415	401F
16418	4022
16419	4023
16420	4024
16421	4025
16422	4026
16423	4027
16424	4028
16427	402B
16428	402C
16429	402D
16430	402E
16431	402F
16432	4030
16433	4031
16434	4032
16435	4033
16436	4034
16437	4035
16438	4036
16439	4037
16440	4038
16441	4039
16442	403A
16443	403B
16444	403C
16445	403D
16446	403E
16447	403F
16448	4040
16449	4041
16450	4042
16451	4043
16452	4044
16457	4049
16458	404A
16459	404B
16460	404C
16461	404D
16466	4052
16468	4054
16469	4055
16471	4057
16473	4059
16474	405A
16475	405B
16476	405C
16477	405D
16478	405E
16479	405F
16480	4060
16481	4061
16482	4062
16483	4063
16484	4064
16485	4065
16486	4066
16487	4067
16488	4068
16489	4069
16490	406A
16491	406B
16492	406C
16493	406D
16494	406E
16495	406F
16509	407D
16516	4084
16531	4093
16536	4098
16642	4102
16643	4103
16645	4105
16649	4109
16657	4111
16658	4112
16680	4128
16686	412E
16696	4138
16700	413C
16701	413D
16702	413E
16703	413F
16704	4140
16705	4141
16716	414C
16718	414E
16722	4152
16723	4153
16724	4154
16725	4155
16726	4156
16727	4157
16728	4158
16729	4159
16730	415A
16731	415B
16732	415C
16733	415D
16734	415E
16735	415F
16736	4160
16737	4161
16738	4162
16739	4163
16740	4164
16741	4165
16743	4167
16744	4168
16745	4169
16746	416A
16747	416B
16748	416C
16749	416D
16750	416E
16751	416F
